G4_1a	HH_G4_1a
 This evidence could be used to support Charlie‰Ûªs claim because the object was not named and the particles in his picture are spread apart from each other in different directions.	0
That could support Charlie's claim because he drew his gas particles in all directions and Charlie's teacher says that when you blow air into a balloon it grows bigger in every direction so that shows that what his teacher said can be used as information for Charlie's claim. 	2
"'- by saying ""When you blow air into a balloon, the balloon grows bigger in all directions.‰Û"	0
all the partacils will start to move faster in the ballone because the hot air in your mouth will go in the ballone  	0
This evidence can support Charlieå«s claim because it an example of particles spreading out.	0
because hot air moves faster because you use hot air to fill up a ballon	0
It can support Charlies claim because it shows that gas particles spread everywhere.	0
"The fact that when air is blown into a balloon, the balloon grows bigger in all directions supports Charlie's claim because the gas particles will move with the balloon in all directions. "	1
"This evidence could be used to support Charlie's claim by showing that in some cases, the gas particles are spread out. This could be because of what type of gas particles are being put into it."	0
This can be supported because the particle moves up and around in a balloon more when the space inside is greater.	0
This evidence could be used to support Charlie's claim because when you blow up a balloon the air spreads all around the balloon causing each side of the balloon to grow and raise just like how Charlie's diagram shows the particles spreading all around.	2
"Evidence we could use to support Charlie's claim of,‰ÛÏWhen you blow air into a balloon, the balloon grows bigger in all directions.‰Û We could say that it as air particles spread apart over an elapsed period of time. They also rise up.  "	1
"Since a balloon grows bigger when you blow air into it, it shows that this could be what is happening on Charlie's picture. When you blow air inside a balloon, the air entering the balloon is hot. This causes all the particles to spread out, just like on Charlie's picture."	2
"The air in a balloon is scattered out, just like in Charlie's claim."	2
Charlie's claim is also correct because they spread out in all directions and the Science teacher admitted that too.	0
Because Charlie showed particle going in all directions.	0
"Since his diagram shows the molecules expanding, of at least in motion, and hitting all the walls, the same principle would apply to the balloon, and that would support his claim, that the balloon is doing what his diagram shows. "	2
this evidence could be used to support charlies claim because he could argue that the particles in the box want to be spread out like when you blow air into a balloon.	2
Charlie can say that the box is a balloon and the particles move in all direction than moving up. This make to balloon grow bigger because of all the directions of the particles.	2
"this could be supported by having a balloon and you blow the balloon up, the whole thing becomes larger not just one part."	1
"I think this evidence could be supported to Charlies claim, because Charlie drew the gas particles spread apart, and the teacher tells him that,the balloon grows bigger in all directions. This means that the gas particles in the balloon spread apart."	2
"When you blow a balloon the little particles float around because your breath put air in it and you breath have more mass than the balloon, so if you blow up a balloon the little particle float everywhere and spreads out."	1
"If Sam's claim were true then the gas in balloon would rises and the balloon would be less like a sphere and more like a tube with the gas at the top, instead the gas is spread out and makes the balloon the shape that it is."	1
"This evidence could be used to support Charlie's claim because his particles are all over the place after a minute. And after a minute of blowing a balloon, the particles would be everywhere too. Like in Charlie's picture, showing that hsi particles could be shown in a balloon."	2
"Charlie's claim is that the gas particles in a box spread out evenly everywhere. The teacher told him that when you blow air into a balloon, the balloon gets bigger in all directions. Charlie's claim is the same thing, in a box."	2
"This evidence shows that because the balloon expands in all directions. This would support Charlieå«s claim because it also shows that the air particles would move in all directions, making them look scattered."	2
"This evidence,""When you blow air into a balloon, the balloon grows bigger in all directions,"" could be used to support Charlie's claim, because giving the gas particles in the box time to separate and spread out throughout the box and go out in all directions, like how when you blow air into a balloon, it grows larger in all directions. Gas particles must spread out for the expansion of the balloon."	2
"This piece of evidence can be used to support Charlie's claim because he states that ""When you blow air into a balloon, the balloon grows bigger in all directions."" This shows that the particles are spread out evenly because it is growing in all directions."	1
Air particles move around really fast which cause the balloon to get bigger. This what is shown in Charlie's image.	0
"This evidence could be used to support Charlie's claim because as you blow into the balloon, you are blowing a steady stream of air but as the air goes in, the particles spread to cause the balloon to grow bigger. "	1
"Since you blow air into a balloon and the balloon expands, all the gas particles are evenly spreading throughout the space, therefore this also happens in my scenario so my claim is right."	2
That the box is enlarging.	0
This explains that Charlies diagram is also right.	0
This evidence might support Charlie's claim because the gas particles spread out when a balloon grows bigger.	1
"He could say that he is correct because when you blow air in a balloon, the balloon grows bigger in all directions."	0
"Like in a balloon, the particles move in all directions."	2
like ballon the suger goes to all dirctions.	0
because the particles are everywhere	0
since the balloon is stretchy when you blow in air molecules the molecules bounce around in the balloon and make it larger and bigger	1
"Charlie could use this as evidence to support his claim because he could write ""Like in a balloon the air moves, or the particles spread around and so they probably do that in everything."""	2
"Charlie thinks that all the gas particles will be scattered all over the place because when you blow air into a balloon, the balloon grows bigger in all different directions."	1
When you blow into a balloon every gas particle go everywhere	1
  The air blown into the balloon will grow bigger in all directions.  It shows that the air particle was spreading inside the balloon.  So the air is the similar to the gas particles so it supports Charlieå«s claim.	2
The evidence the teacher told Charlie could support Charlie's claim because Charlie drew gas particles that float around. The teacher told Charlie that air in a balloon could grow bigger in all directions. 	1
It could help him to give examples in his evidence.	1
This evidence supports Charlie's claim because the particles when they blow in something they move around.	0
"If a balloon grows bigger in all directions, that can maybe support Charlie's claim."	0
The teacher is right because when you blow air the particles move they donå«t stay in one place only.	0
So that the bigger it gets more the particles separate.	0
This evidence supports the claim that gas particles spread out when traped in a box because the air in the balloon also spreads out to make the balloon expand.	2
Charlie's desgin is a moving in a air ballon	0
He could use this to support his claim because helium or carbon dioxide is a type of gas so when you blow up a balloon which at first has no gas in it when you blow it up it expands in all directions so therefore his claim would be right because his claim was that the particles would spread out in all directions. 	1
charlie thinks that now that he know some air particles go in every direction he thinks his answer is correct.	0
The gas particles go around and donå«t stay all in one place 	0
"This evidence could support Charlie's claim because as time goes on, the air starts to spread in different directions like how air in a balloon does."	2
That the particles do spread out in a balloon in all directions.	1
This evidence could be used to support Charlie‰Ûªs claim because the particle might fill up a balloon.	0
The gas particals might move around like a balloon's would.	0
"The gas spreads apart, making the balloon bigger, until it has too much gas, then it pops."	1
That you blow air then the air particles move up and around.	0
It could support his claim because it could be a diagram of how the gas particles move inside a balloon. 	0
"When you blow a balloon, carbon dioxide gets into the balloon, which makes it grow in all directions. It is very easy to do and you just need a little bit of effort to do it."	0
"If the particles were in a balloon and I blew into it, then the particles would go everywhere to make the balloon grow bigger."	1
his did have more detail cause the gas moves the particales around	0
Charlie is thinking about when you blow a balloon the balloon doesn't just get blown up on 1 side actually it would blow up on all of the sides	0
"When you blow air into a balloon, the balloon grows bigger in all directions. This box also has gas particles and they will go everywhere like the balloon."	2
This evidence could be used because Charlie's drawing shows the gas particles moving in all directions and not being compact.	0
"This evidence could be used to support Charlie's claim because the gas particles moved in all directions, like a balloon."	2
This helps Charlie`s claim because it gives evidence that particles spread out in some cases	0
That air goes in all directions.	0
"If you blow air into a balloon, the balloon grows bigger in all directions than Charlie can use this information to support his claim by saying that when you blow air to in the balloon, heat is being transferred and is causing the gas particles to move all over the place."	1
"This evidence would support CharlieÝ claim because Charlie thinks that the particles in a box spread around, and the teacher told him that in a balloon, the particles are spread around."	1
This can be used to support Charlies claim because he said the gas particles move everywhere just like they do in a ballon.	2
If particles float apart in a balloon maybe they do it in other places to.	1
"Air is made of particles, and the air in the balloon spreads, so these particles will also spread."	2
"Maybe he rode a hot air balloon and he knows that the gas particles spread out inside. Also, because the gas particles move in all sorts of directions."	1
The particles in a balloon spread when blown into.	1
"This evidence might be used to help Charlie's claim because when air is blown into a balloon, the pressure is greater than when it didn't have air in it."	0
This evidence supports Charlie's claim because Charlie drew all the particles spreading apart in the box.	0
This evidence can be used to support Charlie's claim by showing that the particles can go in all directions and expand its shape like a balloon being blown up.	2
This can be used for a balloon model of particle movement.	0
The air in his diagram takes up more space	0
"This evidence could be used to support Charlie‰Ûªs claim because when you blow air into a balloon, the balloon grows bigger in all directions. In his drawing, it shows the gas particles all around the box, just like balloon particles when blown into.   "	2
"This evidence may support Charlie's claim because if the balloon expands in all directions, it means the particles are in a position similar to his model."	0
"The teacher's evidence supports Charlie's claim, because in a balloon air goes in all directions, which is what Charlie drew in the diagram."	1
"when it is a balloon, it grows into a bigger directions "	0
because he is saying that the particles go everywhere	0
